District-en,District-te,DistrictHQ-te, lat,long
Adilabad,ఆదిలాబాద్ ,ఆదిలాబాద్,19.66522,78.525124
Karimnagar,కరీంనగర్ ,కరీంనగర్,18.45,79.13
Kamareddy,కామారెడ్డి ,కామారెడ్డి,18.323,78.335
Kumurambheem Asifabad,కొమరంభీం అసీఫాబాద్,ఆసిఫాబాద్  (కొమరంభీం),19.365,79.274
Khammam,ఖమ్మం ,ఖమ్మం,17.25,80.15
Jagtial,జగిత్యాల ,జగిత్యాల,18.7908937,78.9118506
Jangoan,జనగామ ,జనగామ,17.72602,79.15236
Jayashankar Bhupalpally,జయశంకర్ ,భూపాలపల్లి (జయశంకర్),18.431436,79.860483
Jogulamba Gadwal,జోగులాంబ గద్వాల ,గద్వాల్ (జోగులాంబ),16.2066019,77.790182
Nalgonda,నల్గొండ ,నల్గొండ ,17.05,79.27
Nagarkurnool,నాగర్‌కర్నూల్ ,నాగర్ కర్నూల్,16.4859,78.3044
Narayanpet,నారాయణపేట ,నారాయణపేట,16.7477,77.4957
Nizamabad,నిజామాబాదు ,నిజామాబాదు,18.672,78.094
Nirmal,నిర్మల్ ,నిర్మల్,19.1105,78.3407
Peddapalli,పెద్దపల్లి ,పెద్దపల్లి,18.6227,79.3919
Bhadradri Kothagudem,భద్రాద్రి ,కొత్తగూడెం (భద్రాద్రి),17.544596,80.646873
Mahabubabad,మహబూబాబాదు ,మహబూబాబాద్,17.5975284,80.0015307
Mahabubnagar,మహబూబ్ నగర్ ,మహబూబ్ నగర్,16.742907,78.00602
Mulugu,ములుగు ,ములుగు,18.1932372,79.9413676
Medak,మెదక్ ,మెదక్ ,18.0450171,78.2622192
Medchal Malkajgiri,మేడ్చల్ ,మేడ్చల్ ,17.50407,78.4779402
Mancherial,మంచిర్యాల ,మంచిర్యాల,18.8679,79.4639
Yadadri Bhuvanagiri,యాదాద్రి - భువనగిరి ,భువనగిరి (యాదాద్రి),17.518345,78.885956
Rajanna Sircilla,రాజన్న సిరిసిల్ల ,సిరిసిల్ల (రాజన్న),18.38662,78.802246
Rangareddy,రంగారెడ్డి ,హైదరాబాదు (రంగారెడ్డి) ,17.366,78.476
Wanaparthy,వనపర్తి ,వనపర్తి,16.362312,78.062182
Warangal Rural,వరంగల్ గ్రామీణ ,వరంగల్  (గ్రామీణ),18,79.58
Warangal Urban,వరంగల్ పట్టణ ,వరంగల్ (పట్టణ) ,18,79.58
Vikarabad,వికారాబాదు ,వికారాబాద్,17.33643,77.904846
Siddipet,సిద్ధిపేట ,సిద్దిపేట,18.10483,78.84858
Suryapet,సూర్యాపేట ,సూర్యాపేట,17.143908,79.623924
Sangareddy,సంగారెడ్డి ,సంగారెడ్డి ,17.6294,78.0917
Hyderabad,హైదరాబాదు ,హైదరాబాదు,17.366,78.476
